game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
00F4E7,2,E,EAST,30,"[34,38]",2,♠,♣,"{""team1"":0,""team2"":7}","[4,7,19,22,29,30,32,33,35]","[30,32,33,35]"
00F4E7,2,N,NORTH,31,"[34,38,30]",3,♠,♣,"{""team1"":0,""team2"":7}","[1,5,6,11,12,25,31,36,37]","[31,36,37]"
00F4E7,3,S,SOUTH,14,[],0,♦,♣,"{""team1"":10,""team2"":7}","[2,3,8,13,18,21,28]","[2,3,8,13,18,21,28]"
00F4E7,3,E,EAST,19,[14],1,♦,♣,"{""team1"":10,""team2"":7}","[4,7,19,22,29,32,33,35]",[19]
00F4E7,3,N,NORTH,11,"[14,19]",2,♦,♣,"{""team1"":10,""team2"":7}","[1,5,6,11,12,25,36,37]","[11,12]"
00F4E7,3,W,WEST,15,"[14,19,11]",3,♦,♣,"{""team1"":10,""team2"":7}","[0,9,10,16,17,24,39]","[10,16,17]"
00F4E7,4,E,EAST,33,[],0,♠,♣,"{""team1"":10,""team2"":20}","[4,7,22,29,32,35]","[4,7,22,29,32,35]"
00F4E7,4,N,NORTH,36,[33],1,♠,♣,"{""team1"":10,""team2"":20}","[1,5,6,12,25,36,37]","[36,37]"
00F4E7,4,W,WEST,39,"[33,36]",2,♠,♣,"{""team1"":10,""team2"":20}","[0,9,10,16,17,24]","[0,9,10,16,17,24]"
00F4E7,4,S,SOUTH,2,"[33,36,39]",3,♠,♣,"{""team1"":10,""team2"":20}","[2,3,8,13,18,21,28]","[2,3,8,13,18,21,28]"
00F4E7,5,S,SOUTH,18,[],0,♦,♣,"{""team1"":24,""team2"":20}","[3,8,13,18,21,28]","[3,8,13,18,21,28]"
00F4E7,5,E,EAST,4,[18],1,♦,♣,"{""team1"":24,""team2"":20}","[4,7,22,29,32,35]","[4,7,22,29,32,35]"
00F4E7,5,N,NORTH,12,"[18,4]",2,♦,♣,"{""team1"":24,""team2"":20}","[1,5,6,12,25,37]",[12]
00F4E7,5,W,WEST,16,"[18,4,12]",3,♦,♣,"{""team1"":24,""team2"":20}","[0,9,10,17,24]","[10,17]"
