game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
52,INPROC_745BC8,1,10,team2,Team 2 (E/W),34,86,9,♣,finished,2026-05-18T16:42:00.201619+00:00
53,INPROC_FBD5DF,1,10,team2,Team 2 (E/W),50,70,29,♥,finished,2026-05-18T16:42:00.216353+00:00
54,INPROC_EB1931,1,10,team1,Team 1 (N/S),76,44,34,♠,finished,2026-05-18T16:42:00.231341+00:00
55,INPROC_EA7EE2,1,10,team2,Team 2 (E/W),40,80,38,♠,finished,2026-05-18T16:42:00.242068+00:00
56,INPROC_CBB7C0,1,10,team1,Team 1 (N/S),85,35,8,♣,finished,2026-05-18T16:42:00.250641+00:00
57,INPROC_B35432,1,10,team2,Team 2 (E/W),22,98,29,♥,finished,2026-05-18T16:42:00.259704+00:00
58,INPROC_34D924,1,10,team2,Team 2 (E/W),47,73,12,♦,finished,2026-05-18T16:42:00.274359+00:00
59,INPROC_2A40B0,1,10,team2,Team 2 (E/W),29,91,28,♥,finished,2026-05-18T16:42:00.288670+00:00
60,INPROC_B538A6,1,10,team2,Team 2 (E/W),51,69,1,♣,finished,2026-05-18T16:42:00.303973+00:00
61,INPROC_606703,1,10,team1,Team 1 (N/S),93,27,33,♠,finished,2026-05-18T16:42:00.322256+00:00
62,INPROC_4E8C53,1,10,team1,Team 1 (N/S),104,16,33,♠,finished,2026-05-18T16:42:00.341671+00:00
63,INPROC_A28BAE,1,10,team2,Team 2 (E/W),13,107,0,♣,finished,2026-05-18T16:42:00.359225+00:00
64,INPROC_A63088,1,10,team2,Team 2 (E/W),40,80,32,♠,finished,2026-05-18T16:42:00.379292+00:00
65,INPROC_29E041,1,10,team1,Team 1 (N/S),88,32,38,♠,finished,2026-05-18T16:42:00.396825+00:00
66,INPROC_D615DC,1,10,team1,Team 1 (N/S),66,54,22,♥,finished,2026-05-18T16:42:00.416683+00:00
67,INPROC_B04073,1,10,team2,Team 2 (E/W),19,101,19,♦,finished,2026-05-18T16:42:00.433779+00:00
68,INPROC_360B32,1,10,team2,Team 2 (E/W),55,65,33,♠,finished,2026-05-18T16:42:00.450957+00:00
69,INPROC_DA6EFE,1,10,team2,Team 2 (E/W),47,73,4,♣,finished,2026-05-18T16:42:00.468721+00:00
70,INPROC_B1DAAA,1,10,team2,Team 2 (E/W),57,63,32,♠,finished,2026-05-18T16:42:00.486067+00:00
