game_number,game_id,round_number,round_points,round_winner_team,team1_before,team2_before,team1_after,team2_after,cards_played_count,cards_played,round_actions
2,INPROC_C6D413,1,21,team2,0,0,0,21,4,?:Positions.EAST:29 | ?:Positions.NORTH:28 | ?:Positions.WEST:24 | ?:Positions.SOUTH:22,"[{""position"": ""Positions.EAST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [4, 5, 13, 15, 17, 20, 21, 25, 26, 29], ""legal_moves"": [4, 5, 13, 15, 17, 20, 21, 25, 26, 29]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""29""], ""position_in_trick"": 1, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [3, 10, 11, 12, 23, 28, 30, 31, 33, 38], ""legal_moves"": [23, 28]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""29"", ""28""], ""position_in_trick"": 2, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [2, 6, 7, 8, 18, 19, 24, 32, 36, 37], ""legal_moves"": [24]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""29"", ""28"", ""24""], ""position_in_trick"": 3, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [0, 1, 9, 14, 16, 22, 27, 34, 35, 39], ""legal_moves"": [22, 27]}]"
2,INPROC_C6D413,2,8,team1,0,21,8,21,4,?:Positions.EAST:21 | ?:Positions.NORTH:23 | ?:Positions.WEST:37 | ?:Positions.SOUTH:27,"[{""position"": ""Positions.EAST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [4, 5, 13, 15, 17, 20, 21, 25, 26], ""legal_moves"": [4, 5, 13, 15, 17, 20, 21, 25, 26]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""21""], ""position_in_trick"": 1, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [3, 10, 11, 12, 23, 30, 31, 33, 38], ""legal_moves"": [23]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""21"", ""23""], ""position_in_trick"": 2, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [2, 6, 7, 8, 18, 19, 32, 36, 37], ""legal_moves"": [2, 6, 7, 8, 18, 19, 32, 36, 37]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""21"", ""23"", ""37""], ""position_in_trick"": 3, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [0, 1, 9, 14, 16, 27, 34, 35, 39], ""legal_moves"": [27]}]"
2,INPROC_C6D413,3,14,team1,8,21,22,21,4,?:Positions.SOUTH:9 | ?:Positions.EAST:4 | ?:Positions.NORTH:3 | ?:Positions.WEST:6,"[{""position"": ""Positions.SOUTH"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [0, 1, 9, 14, 16, 34, 35, 39], ""legal_moves"": [0, 1, 9, 14, 16, 34, 35, 39]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""9""], ""position_in_trick"": 1, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [4, 5, 13, 15, 17, 20, 25, 26], ""legal_moves"": [4, 5]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""9"", ""4""], ""position_in_trick"": 2, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [3, 10, 11, 12, 30, 31, 33, 38], ""legal_moves"": [3]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""9"", ""4"", ""3""], ""position_in_trick"": 3, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [2, 6, 7, 8, 18, 19, 32, 36], ""legal_moves"": [2, 6, 7, 8]}]"
2,INPROC_C6D413,4,25,team2,22,21,22,46,4,?:Positions.SOUTH:39 | ?:Positions.EAST:17 | ?:Positions.NORTH:38 | ?:Positions.WEST:32,"[{""position"": ""Positions.SOUTH"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [0, 1, 14, 16, 34, 35, 39], ""legal_moves"": [0, 1, 14, 16, 34, 35, 39]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""39""], ""position_in_trick"": 1, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [5, 13, 15, 17, 20, 25, 26], ""legal_moves"": [5, 13, 15, 17, 20, 25, 26]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""39"", ""17""], ""position_in_trick"": 2, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [10, 11, 12, 30, 31, 33, 38], ""legal_moves"": [30, 31, 33, 38]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""39"", ""17"", ""38""], ""position_in_trick"": 3, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [2, 7, 8, 18, 19, 32, 36], ""legal_moves"": [32, 36]}]"
2,INPROC_C6D413,5,10,team2,22,46,22,56,4,?:Positions.EAST:20 | ?:Positions.NORTH:33 | ?:Positions.WEST:18 | ?:Positions.SOUTH:0,"[{""position"": ""Positions.EAST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [5, 13, 15, 20, 25, 26], ""legal_moves"": [5, 13, 15, 20, 25, 26]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""20""], ""position_in_trick"": 1, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [10, 11, 12, 30, 31, 33], ""legal_moves"": [10, 11, 12, 30, 31, 33]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""20"", ""33""], ""position_in_trick"": 2, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [2, 7, 8, 18, 19, 36], ""legal_moves"": [2, 7, 8, 18, 19, 36]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""20"", ""33"", ""18""], ""position_in_trick"": 3, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [0, 1, 14, 16, 34, 35], ""legal_moves"": [0, 1, 14, 16, 34, 35]}]"
2,INPROC_C6D413,6,12,team2,22,56,22,68,4,?:Positions.WEST:8 | ?:Positions.SOUTH:1 | ?:Positions.EAST:5 | ?:Positions.NORTH:30,"[{""position"": ""Positions.WEST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [2, 7, 8, 19, 36], ""legal_moves"": [2, 7, 8, 19, 36]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""8""], ""position_in_trick"": 1, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [1, 14, 16, 34, 35], ""legal_moves"": [1]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""8"", ""1""], ""position_in_trick"": 2, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [5, 13, 15, 25, 26], ""legal_moves"": [5]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""8"", ""1"", ""5""], ""position_in_trick"": 3, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [10, 11, 12, 30, 31], ""legal_moves"": [10, 11, 12, 30, 31]}]"
2,INPROC_C6D413,7,3,team2,22,68,22,71,4,?:Positions.WEST:36 | ?:Positions.SOUTH:34 | ?:Positions.EAST:13 | ?:Positions.NORTH:31,"[{""position"": ""Positions.WEST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [2, 7, 19, 36], ""legal_moves"": [2, 7, 19, 36]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""36""], ""position_in_trick"": 1, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [14, 16, 34, 35], ""legal_moves"": [34, 35]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""36"", ""34""], ""position_in_trick"": 2, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [13, 15, 25, 26], ""legal_moves"": [13, 15, 25, 26]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""36"", ""34"", ""13""], ""position_in_trick"": 3, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [10, 11, 12, 31], ""legal_moves"": [31]}]"
2,INPROC_C6D413,8,5,team1,22,71,27,71,4,?:Positions.EAST:26 | ?:Positions.NORTH:11 | ?:Positions.WEST:2 | ?:Positions.SOUTH:35,"[{""position"": ""Positions.EAST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [15, 25, 26], ""legal_moves"": [15, 25, 26]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""26""], ""position_in_trick"": 1, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [10, 11, 12], ""legal_moves"": [10, 11, 12]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""26"", ""11""], ""position_in_trick"": 2, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [2, 7, 19], ""legal_moves"": [2, 7, 19]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""26"", ""11"", ""2""], ""position_in_trick"": 3, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [14, 16, 35], ""legal_moves"": [14, 16, 35]}]"
2,INPROC_C6D413,9,13,team2,27,71,27,84,4,?:Positions.NORTH:10 | ?:Positions.WEST:19 | ?:Positions.SOUTH:14 | ?:Positions.EAST:15,"[{""position"": ""Positions.NORTH"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [10, 12], ""legal_moves"": [10, 12]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""10""], ""position_in_trick"": 1, ""lead_suit"": ""♦"", ""trump"": ""♦"", ""hand_before"": [7, 19], ""legal_moves"": [19]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""10"", ""19""], ""position_in_trick"": 2, ""lead_suit"": ""♦"", ""trump"": ""♦"", ""hand_before"": [14, 16], ""legal_moves"": [14, 16]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""10"", ""19"", ""14""], ""position_in_trick"": 3, ""lead_suit"": ""♦"", ""trump"": ""♦"", ""hand_before"": [15, 25], ""legal_moves"": [15]}]"
2,INPROC_C6D413,10,9,team1,27,84,36,84,4,?:Positions.WEST:7 | ?:Positions.SOUTH:16 | ?:Positions.EAST:25 | ?:Positions.NORTH:12,"[{""position"": ""Positions.WEST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [7], ""legal_moves"": [7]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""7""], ""position_in_trick"": 1, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [16], ""legal_moves"": [16]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""7"", ""16""], ""position_in_trick"": 2, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [25], ""legal_moves"": [25]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""7"", ""16"", ""25""], ""position_in_trick"": 3, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [12], ""legal_moves"": [12]}]"
