game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
52,INPROC_7733BA,1,10,team1,Team 1 (N/S),62,58,2,♣,finished,2026-05-13T14:40:58.905694+00:00
53,INPROC_4DB82F,1,10,team1,Team 1 (N/S),96,24,25,♥,finished,2026-05-13T14:40:58.925774+00:00
54,INPROC_E5AE3C,1,10,team2,Team 2 (E/W),55,65,25,♥,finished,2026-05-13T14:40:58.946302+00:00
55,INPROC_BE6E06,1,10,team1,Team 1 (N/S),74,46,34,♠,finished,2026-05-13T14:40:58.965187+00:00
56,INPROC_DA5D69,1,10,team1,Team 1 (N/S),79,41,13,♦,finished,2026-05-13T14:40:58.985224+00:00
57,INPROC_FC2B50,1,10,team1,Team 1 (N/S),89,31,5,♣,finished,2026-05-13T14:40:59.006584+00:00
58,INPROC_3D696A,1,10,team1,Team 1 (N/S),76,44,17,♦,finished,2026-05-13T14:40:59.027878+00:00
59,INPROC_92DE33,1,10,team2,Team 2 (E/W),40,80,19,♦,finished,2026-05-13T14:40:59.050554+00:00
60,INPROC_479B22,1,10,team1,Team 1 (N/S),90,30,2,♣,finished,2026-05-13T14:40:59.070960+00:00
61,INPROC_D5F5DB,1,10,team1,Team 1 (N/S),109,11,4,♣,finished,2026-05-13T14:40:59.089880+00:00
62,INPROC_75EE82,1,10,team1,Team 1 (N/S),61,59,37,♠,finished,2026-05-13T14:40:59.107376+00:00
63,INPROC_E45B27,1,10,team2,Team 2 (E/W),17,103,23,♥,finished,2026-05-13T14:40:59.124953+00:00
64,INPROC_2E80BF,1,10,team2,Team 2 (E/W),51,69,3,♣,finished,2026-05-13T14:40:59.142362+00:00
65,INPROC_56E37E,1,10,team1,Team 1 (N/S),71,49,16,♦,finished,2026-05-13T14:40:59.159316+00:00
66,INPROC_55F1AF,1,10,team1,Team 1 (N/S),89,31,37,♠,finished,2026-05-13T14:40:59.176390+00:00
67,INPROC_BB51DE,1,10,team1,Team 1 (N/S),74,46,16,♦,finished,2026-05-13T14:40:59.193233+00:00
68,INPROC_11DA3D,1,10,team1,Team 1 (N/S),95,25,34,♠,finished,2026-05-13T14:40:59.209829+00:00
69,INPROC_7C7937,1,10,team1,Team 1 (N/S),81,39,32,♠,finished,2026-05-13T14:40:59.226461+00:00
70,INPROC_25E5F8,1,10,team2,Team 2 (E/W),22,98,9,♣,finished,2026-05-13T14:40:59.242557+00:00
71,INPROC_2136A7,1,10,team2,Team 2 (E/W),52,68,5,♣,finished,2026-05-13T14:40:59.258171+00:00
72,INPROC_E69DB6,1,10,team1,Team 1 (N/S),65,55,18,♦,finished,2026-05-13T14:40:59.273931+00:00
73,INPROC_CB4DEF,1,10,team1,Team 1 (N/S),67,53,10,♦,finished,2026-05-13T14:40:59.290428+00:00
74,INPROC_87B538,1,10,team1,Team 1 (N/S),89,31,25,♥,finished,2026-05-13T14:40:59.307025+00:00
75,INPROC_A1B60E,1,10,team2,Team 2 (E/W),16,104,9,♣,finished,2026-05-13T14:40:59.322962+00:00
76,INPROC_59F834,1,10,team1,Team 1 (N/S),69,51,29,♥,finished,2026-05-13T14:40:59.338421+00:00
77,INPROC_587A1D,1,10,team1,Team 1 (N/S),64,56,6,♣,finished,2026-05-13T14:40:59.353973+00:00
78,INPROC_17B42E,1,10,team2,Team 2 (E/W),56,64,12,♦,finished,2026-05-13T14:40:59.369441+00:00
79,INPROC_C07B18,1,10,team1,Team 1 (N/S),90,30,26,♥,finished,2026-05-13T14:40:59.385083+00:00
80,INPROC_F617B7,1,10,team2,Team 2 (E/W),44,76,0,♣,finished,2026-05-13T14:40:59.400492+00:00
81,INPROC_AED020,1,10,team1,Team 1 (N/S),67,53,24,♥,finished,2026-05-13T14:40:59.416008+00:00
82,INPROC_979A4F,1,10,team2,Team 2 (E/W),26,94,2,♣,finished,2026-05-13T14:40:59.431706+00:00
83,INPROC_D6BC93,1,10,team1,Team 1 (N/S),82,38,13,♦,finished,2026-05-13T14:40:59.447384+00:00
84,INPROC_6EE3D8,1,10,team2,Team 2 (E/W),56,64,28,♥,finished,2026-05-13T14:40:59.462978+00:00
85,INPROC_E1D8C5,1,10,team2,Team 2 (E/W),59,61,8,♣,finished,2026-05-13T14:40:59.478604+00:00
