game_number,game_id,round_number,round_points,round_winner_team,team1_before,team2_before,team1_after,team2_after,cards_played_count,cards_played
15,EF8FE5,4,24,team2,0,26,0,50,4,E4:EAST:11 | N4:NORTH:39 | W4:WEST:19 | S4:SOUTH:15
15,EF8FE5,5,17,team1,0,50,17,50,4,W4:WEST:33 | S4:SOUTH:38 | E4:EAST:37 | N4:NORTH:36
15,EF8FE5,6,15,team2,17,50,17,65,4,S4:SOUTH:13 | E4:EAST:14 | N4:NORTH:9 | W4:WEST:17
15,EF8FE5,7,13,team2,17,65,17,78,4,W4:WEST:6 | S4:SOUTH:3 | E4:EAST:8 | N4:NORTH:4
15,EF8FE5,8,11,team2,17,78,17,89,4,E4:EAST:29 | N4:NORTH:31 | W4:WEST:1 | S4:SOUTH:23
15,EF8FE5,9,7,team2,17,89,17,96,4,E4:EAST:27 | N4:NORTH:32 | W4:WEST:34 | S4:SOUTH:26
15,EF8FE5,10,7,team2,17,96,17,103,4,E4:EAST:7 | N4:NORTH:30 | W4:WEST:2 | S4:SOUTH:16
16,1A0C45,1,23,team2,0,0,0,23,4,S4:SOUTH:33 | E4:EAST:38 | N4:NORTH:35 | W4:WEST:39
16,1A0C45,2,21,team2,0,23,0,44,3,W4:WEST:28 | S4:SOUTH:21 | E4:EAST:29
16,1A0C45,3,8,team2,0,44,0,52,4,E4:EAST:32 | N4:NORTH:37 | W4:WEST:23 | S4:SOUTH:17
16,1A0C45,4,21,team1,0,52,21,52,4,W4:WEST:12 | S4:SOUTH:19 | E4:EAST:8 | N4:NORTH:13
16,1A0C45,5,0,,21,52,21,52,4,S4:SOUTH:0 | E4:EAST:3 | N4:NORTH:1 | W4:WEST:4
16,1A0C45,6,7,team2,21,52,21,59,3,W4:WEST:27 | S4:SOUTH:26 | E4:EAST:34
16,1A0C45,7,6,team2,21,59,21,65,4,W4:WEST:7 | S4:SOUTH:5 | E4:EAST:2 | N4:NORTH:14
16,1A0C45,8,16,team2,21,65,21,81,4,W4:WEST:9 | S4:SOUTH:6 | E4:EAST:31 | N4:NORTH:15
16,1A0C45,9,5,team1,21,81,26,81,3,W4:WEST:20 | S4:SOUTH:25 | E4:EAST:30
16,1A0C45,10,13,team2,26,81,26,94,4,S4:SOUTH:18 | E4:EAST:36 | N4:NORTH:10 | W4:WEST:24
