epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4107.91,0.45336,0.38503,0.81444,0.97116,0.98626,0.988,0.93773,0.34189,0.23025,0.7923,0.005842,0.005842,0.005842
44,4200.3,0.45392,0.38457,0.8145,0.96884,0.98534,0.98721,0.93703,0.34255,0.23138,0.7923,0.005743,0.005743,0.005743
45,4292.58,0.449,0.37989,0.81446,0.96743,0.98477,0.98666,0.93837,0.34049,0.23089,0.79213,0.005644,0.005644,0.005644
46,4385.02,0.44877,0.37847,0.81489,0.97138,0.98516,0.98807,0.93977,0.33732,0.22639,0.79143,0.005545,0.005545,0.005545
47,4477.44,0.44641,0.3756,0.81435,0.97134,0.98471,0.98764,0.93933,0.33931,0.22762,0.79181,0.005446,0.005446,0.005446
48,4569.6,0.44331,0.37482,0.81291,0.97344,0.98404,0.98831,0.9416,0.336,0.22513,0.79107,0.005347,0.005347,0.005347
49,4662.03,0.4421,0.37119,0.81504,0.97497,0.98354,0.98842,0.94121,0.33602,0.22386,0.79102,0.005248,0.005248,0.005248
50,4754.43,0.44196,0.37064,0.81337,0.97441,0.98511,0.98825,0.94198,0.3342,0.22294,0.79071,0.005149,0.005149,0.005149
51,4846.66,0.43918,0.36755,0.81299,0.97349,0.98598,0.98857,0.94269,0.33337,0.22195,0.79053,0.00505,0.00505,0.00505
52,4939.07,0.4388,0.36854,0.81222,0.97383,0.98593,0.98845,0.94244,0.33323,0.22105,0.79042,0.004951,0.004951,0.004951
53,5031.48,0.43567,0.36224,0.81176,0.97243,0.98762,0.98845,0.94305,0.33194,0.2199,0.79013,0.004852,0.004852,0.004852
54,5123.69,0.43613,0.36275,0.81199,0.97063,0.98821,0.98829,0.94289,0.33125,0.21931,0.79016,0.004753,0.004753,0.004753
55,5216.08,0.43318,0.36045,0.81128,0.97014,0.98868,0.98827,0.94327,0.33093,0.21872,0.79001,0.004654,0.004654,0.004654
56,5308.48,0.43132,0.35822,0.81049,0.96912,0.9888,0.98811,0.94353,0.32985,0.21849,0.78983,0.004555,0.004555,0.004555
57,5400.72,0.43053,0.35711,0.81139,0.97068,0.98919,0.98845,0.94428,0.32894,0.21686,0.78968,0.004456,0.004456,0.004456
58,5493.1,0.42874,0.3516,0.81046,0.97483,0.98438,0.98865,0.94513,0.32869,0.21602,0.78952,0.004357,0.004357,0.004357
59,5585.45,0.42694,0.35091,0.81025,0.97563,0.98424,0.98857,0.94518,0.32703,0.21534,0.78924,0.004258,0.004258,0.004258
60,5677.81,0.42378,0.34853,0.80967,0.9741,0.98637,0.98864,0.94524,0.32686,0.2145,0.78917,0.004159,0.004159,0.004159
61,5770.3,0.42367,0.34775,0.80907,0.97448,0.98649,0.98859,0.94564,0.32678,0.21431,0.78909,0.00406,0.00406,0.00406
62,5862.55,0.42388,0.34647,0.80948,0.97302,0.98685,0.9885,0.94629,0.32581,0.21376,0.78893,0.003961,0.003961,0.003961
63,5954.88,0.42059,0.34221,0.8096,0.97477,0.98638,0.98897,0.94735,0.32494,0.21185,0.78874,0.003862,0.003862,0.003862
64,6047.29,0.41888,0.3418,0.8091,0.97365,0.98755,0.98895,0.94669,0.32517,0.2116,0.78874,0.003763,0.003763,0.003763
65,6139.52,0.41677,0.34032,0.8081,0.9741,0.98707,0.98902,0.94725,0.32445,0.21082,0.78858,0.003664,0.003664,0.003664
66,6231.86,0.41641,0.33813,0.80762,0.97775,0.98339,0.98913,0.94753,0.32422,0.21013,0.78855,0.003565,0.003565,0.003565
67,6324.07,0.41514,0.33649,0.80807,0.97802,0.98424,0.98921,0.94789,0.32347,0.20958,0.78838,0.003466,0.003466,0.003466
68,6416.47,0.41457,0.33393,0.80804,0.97757,0.9849,0.98932,0.94791,0.32327,0.20889,0.78833,0.003367,0.003367,0.003367
69,6508.84,0.41363,0.33255,0.80719,0.97847,0.98454,0.9894,0.94808,0.32264,0.2083,0.78822,0.003268,0.003268,0.003268
70,6601.25,0.40963,0.33043,0.80723,0.97663,0.98664,0.98945,0.94875,0.32208,0.20781,0.78815,0.003169,0.003169,0.003169
71,6693.7,0.40945,0.32646,0.80566,0.97859,0.98525,0.98955,0.94883,0.32203,0.2073,0.78809,0.00307,0.00307,0.00307
72,6786.12,0.40865,0.32677,0.80608,0.97855,0.98579,0.98958,0.9492,0.32149,0.20696,0.78798,0.002971,0.002971,0.002971
73,6878.41,0.40739,0.32205,0.80569,0.97848,0.98552,0.98962,0.94937,0.32106,0.20648,0.7879,0.002872,0.002872,0.002872
74,6970.84,0.40424,0.32091,0.80596,0.97888,0.98572,0.98966,0.94952,0.32065,0.20559,0.78782,0.002773,0.002773,0.002773
75,7063.19,0.40385,0.32139,0.8048,0.97861,0.98637,0.98971,0.94988,0.32017,0.20505,0.78774,0.002674,0.002674,0.002674
76,7155.42,0.4029,0.32082,0.80463,0.97893,0.98651,0.98977,0.95012,0.31975,0.20453,0.78763,0.002575,0.002575,0.002575
77,7247.82,0.40009,0.31787,0.80512,0.97823,0.98707,0.9898,0.9503,0.31945,0.20416,0.78757,0.002476,0.002476,0.002476
78,7340.19,0.39897,0.31423,0.80498,0.97815,0.98758,0.98985,0.9505,0.319,0.20367,0.78749,0.002377,0.002377,0.002377
79,7432.41,0.39732,0.31202,0.8049,0.97735,0.98781,0.98981,0.95078,0.31879,0.20342,0.78743,0.002278,0.002278,0.002278
80,7524.91,0.3957,0.3108,0.80484,0.97713,0.98756,0.98975,0.95069,0.31849,0.20343,0.78738,0.002179,0.002179,0.002179
81,7617.29,0.39454,0.30812,0.80407,0.97717,0.98761,0.98976,0.95073,0.31822,0.20296,0.78731,0.00208,0.00208,0.00208
82,7709.5,0.39263,0.3081,0.80285,0.97731,0.98763,0.98979,0.95074,0.31793,0.2025,0.78724,0.001981,0.001981,0.001981
83,7801.86,0.39098,0.30352,0.8041,0.97735,0.98779,0.9898,0.95085,0.31782,0.20215,0.78721,0.001882,0.001882,0.001882
84,7894.07,0.38823,0.3015,0.80382,0.97738,0.98797,0.98987,0.95107,0.31734,0.20184,0.78712,0.001783,0.001783,0.001783
