round,player_name,position,card,player_id,timestamp
2,Rita,NORTH,13,9666a52b,1776952750.7112675
2,Ava,SOUTH,19,25102457,1776952750.7893445
2,Alyssa,EAST,10,8d3094de,1776952750.7893445
2,Rita,NORTH,13,9666a52b,1776952750.7893445
2,Serana,WEST,17,21a1c6c8,1776952750.7893445
2,Ava,SOUTH,19,25102457,1776952750.8633575
2,Alyssa,EAST,10,8d3094de,1776952750.8633575
2,Rita,NORTH,13,9666a52b,1776952750.8633575
2,Serana,WEST,17,21a1c6c8,1776952750.8633575
2,Ava,SOUTH,19,25102457,1776952750.9364455
2,Alyssa,EAST,10,8d3094de,1776952750.9364455
2,Rita,NORTH,13,9666a52b,1776952750.9364455
2,Serana,WEST,17,21a1c6c8,1776952750.9364455
2,Ava,SOUTH,19,25102457,1776952751.0109012
2,Alyssa,EAST,10,8d3094de,1776952751.0109012
2,Rita,NORTH,13,9666a52b,1776952751.0109012
2,Serana,WEST,17,21a1c6c8,1776952751.0109012
2,Ava,SOUTH,19,25102457,1776952751.0837433
2,Alyssa,EAST,10,8d3094de,1776952751.0837433
2,Rita,NORTH,13,9666a52b,1776952751.0837433
2,Serana,WEST,17,21a1c6c8,1776952751.0837433
2,Ava,SOUTH,19,25102457,1776952751.1627917
2,Alyssa,EAST,10,8d3094de,1776952751.1627917
2,Rita,NORTH,13,9666a52b,1776952751.1627917
2,Serana,WEST,17,21a1c6c8,1776952751.1627917
2,Ava,SOUTH,19,25102457,1776952751.2390897
2,Alyssa,EAST,10,8d3094de,1776952751.2390897
2,Rita,NORTH,13,9666a52b,1776952751.2390897
2,Serana,WEST,17,21a1c6c8,1776952751.2390897
2,Ava,SOUTH,19,25102457,1776952751.3148909
2,Alyssa,EAST,10,8d3094de,1776952751.3148909
2,Rita,NORTH,13,9666a52b,1776952751.3148909
2,Serana,WEST,17,21a1c6c8,1776952751.3148909
2,Ava,SOUTH,19,25102457,1776952751.3893178
2,Alyssa,EAST,10,8d3094de,1776952751.3893178
2,Rita,NORTH,13,9666a52b,1776952751.3893178
2,Serana,WEST,17,21a1c6c8,1776952751.3893178
2,Ava,SOUTH,19,25102457,1776952751.462383
2,Alyssa,EAST,10,8d3094de,1776952751.462383
2,Rita,NORTH,13,9666a52b,1776952751.462383
2,Serana,WEST,17,21a1c6c8,1776952751.462383
2,Ava,SOUTH,19,25102457,1776952751.5399916
2,Alyssa,EAST,10,8d3094de,1776952751.5399916
2,Rita,NORTH,13,9666a52b,1776952751.5399916
2,Serana,WEST,17,21a1c6c8,1776952751.5399916
2,Ava,SOUTH,19,25102457,1776952751.619583
2,Alyssa,EAST,10,8d3094de,1776952751.619583
2,Rita,NORTH,13,9666a52b,1776952751.619583
2,Serana,WEST,17,21a1c6c8,1776952751.619583
2,Ava,SOUTH,19,25102457,1776952751.6991634
2,Alyssa,EAST,10,8d3094de,1776952751.6991634
2,Rita,NORTH,13,9666a52b,1776952751.6991634
2,Serana,WEST,17,21a1c6c8,1776952751.6991634
2,Ava,SOUTH,19,25102457,1776952751.77464
2,Alyssa,EAST,10,8d3094de,1776952751.77464
2,Rita,NORTH,13,9666a52b,1776952751.77464
2,Serana,WEST,17,21a1c6c8,1776952751.77464
2,Ava,SOUTH,19,25102457,1776952751.854013
2,Alyssa,EAST,10,8d3094de,1776952751.854013
2,Rita,NORTH,13,9666a52b,1776952751.854013
2,Serana,WEST,17,21a1c6c8,1776952751.854013
2,Ava,SOUTH,19,25102457,1776952751.9347336
2,Alyssa,EAST,10,8d3094de,1776952751.9347336
2,Rita,NORTH,13,9666a52b,1776952751.9347336
2,Serana,WEST,17,21a1c6c8,1776952751.9347336
2,Ava,SOUTH,19,25102457,1776952752.0082202
2,Alyssa,EAST,10,8d3094de,1776952752.0082202
