game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
52,INPROC_A50D36,1,10,team1,Team 1 (N/S),76,44,10,♦,finished,2026-05-18T16:33:19.786014+00:00
53,INPROC_746494,1,10,team1,Team 1 (N/S),82,38,15,♦,finished,2026-05-18T16:33:19.802770+00:00
54,INPROC_CB04BC,1,10,team1,Team 1 (N/S),93,27,22,♥,finished,2026-05-18T16:33:19.818741+00:00
55,INPROC_40D596,1,10,team1,Team 1 (N/S),72,48,13,♦,finished,2026-05-18T16:33:19.835465+00:00
56,INPROC_1BEA7D,1,10,team2,Team 2 (E/W),21,99,30,♠,finished,2026-05-18T16:33:19.850521+00:00
57,INPROC_2C0497,1,10,team2,Team 2 (E/W),44,76,13,♦,finished,2026-05-18T16:33:19.864525+00:00
58,INPROC_58E2E0,1,10,team1,Team 1 (N/S),71,49,30,♠,finished,2026-05-18T16:33:19.878781+00:00
59,INPROC_CD54AC,1,10,team1,Team 1 (N/S),80,40,18,♦,finished,2026-05-18T16:33:19.893726+00:00
60,INPROC_0D74B5,1,10,team1,Team 1 (N/S),74,46,26,♥,finished,2026-05-18T16:33:19.907932+00:00
61,INPROC_FD69A4,1,10,team1,Team 1 (N/S),90,30,39,♠,finished,2026-05-18T16:33:19.925682+00:00
62,INPROC_8AB2A6,1,10,team1,Team 1 (N/S),100,20,20,♥,finished,2026-05-18T16:33:19.942583+00:00
63,INPROC_A539D9,1,10,team1,Team 1 (N/S),90,30,18,♦,finished,2026-05-18T16:33:19.951019+00:00
64,INPROC_4F6FCE,1,10,team1,Team 1 (N/S),77,43,39,♠,finished,2026-05-18T16:33:19.961176+00:00
65,INPROC_541A1A,1,10,team1,Team 1 (N/S),80,40,11,♦,finished,2026-05-18T16:33:19.977960+00:00
66,INPROC_3777AD,1,10,team1,Team 1 (N/S),100,20,29,♥,finished,2026-05-18T16:33:19.995232+00:00
67,INPROC_ED14B1,1,10,team2,Team 2 (E/W),42,78,16,♦,finished,2026-05-18T16:33:20.012355+00:00
68,INPROC_770022,1,10,team1,Team 1 (N/S),76,44,3,♣,finished,2026-05-18T16:33:20.032761+00:00
69,INPROC_48A19E,1,10,team1,Team 1 (N/S),74,46,15,♦,finished,2026-05-18T16:33:20.052927+00:00
70,INPROC_FF14A3,1,10,team1,Team 1 (N/S),62,58,8,♣,finished,2026-05-18T16:33:20.071159+00:00
71,INPROC_084584,1,10,team1,Team 1 (N/S),62,58,12,♦,finished,2026-05-18T16:33:20.089498+00:00
72,INPROC_DF794F,1,10,team2,Team 2 (E/W),56,64,1,♣,finished,2026-05-18T16:33:20.107341+00:00
73,INPROC_223680,1,10,team2,Team 2 (E/W),32,88,36,♠,finished,2026-05-18T16:33:20.124183+00:00
74,INPROC_D8EFB7,1,10,team1,Team 1 (N/S),92,28,10,♦,finished,2026-05-18T16:33:20.141155+00:00
75,INPROC_E79A8C,1,10,team1,Team 1 (N/S),93,27,31,♠,finished,2026-05-18T16:33:20.157956+00:00
76,INPROC_9D5C5C,1,10,team2,Team 2 (E/W),35,85,6,♣,finished,2026-05-18T16:33:20.174537+00:00
77,INPROC_7C0E80,1,10,team1,Team 1 (N/S),91,29,26,♥,finished,2026-05-18T16:33:20.191753+00:00
78,INPROC_091CFE,1,10,team1,Team 1 (N/S),70,50,6,♣,finished,2026-05-18T16:33:20.209707+00:00
79,INPROC_379820,1,10,draw,draw,60,60,20,♥,finished,2026-05-18T16:33:20.223260+00:00
80,INPROC_861F74,1,10,team1,Team 1 (N/S),88,32,4,♣,finished,2026-05-18T16:33:20.235676+00:00
81,INPROC_65589D,1,10,team1,Team 1 (N/S),66,54,30,♠,finished,2026-05-18T16:33:20.250701+00:00
82,INPROC_BF192F,1,10,team2,Team 2 (E/W),18,102,22,♥,finished,2026-05-18T16:33:20.264875+00:00
83,INPROC_8DDCE1,1,10,team1,Team 1 (N/S),71,49,39,♠,finished,2026-05-18T16:33:20.280064+00:00
84,INPROC_0A6A2D,1,10,team2,Team 2 (E/W),41,79,7,♣,finished,2026-05-18T16:33:20.296061+00:00
85,INPROC_2D4EA8,1,10,team2,Team 2 (E/W),41,79,23,♥,finished,2026-05-18T16:33:20.310761+00:00
86,INPROC_B92B69,1,10,team1,Team 1 (N/S),86,34,9,♣,finished,2026-05-18T16:33:20.319760+00:00
87,INPROC_B7C322,1,10,team1,Team 1 (N/S),66,54,34,♠,finished,2026-05-18T16:33:20.329947+00:00
88,INPROC_6B6AE3,1,10,team1,Team 1 (N/S),89,31,9,♣,finished,2026-05-18T16:33:20.338860+00:00
89,INPROC_91FFBC,1,10,team1,Team 1 (N/S),74,46,24,♥,finished,2026-05-18T16:33:20.353600+00:00
90,INPROC_41E7D1,1,10,team2,Team 2 (E/W),37,83,24,♥,finished,2026-05-18T16:33:20.366797+00:00
91,INPROC_B7900D,1,10,team1,Team 1 (N/S),110,10,12,♦,finished,2026-05-18T16:33:20.380881+00:00
92,INPROC_913A40,1,10,team1,Team 1 (N/S),83,37,11,♦,finished,2026-05-18T16:33:20.396144+00:00
93,INPROC_52240C,1,10,team1,Team 1 (N/S),90,30,18,♦,finished,2026-05-18T16:33:20.412725+00:00
94,INPROC_E243A0,1,10,team1,Team 1 (N/S),101,19,37,♠,finished,2026-05-18T16:33:20.428264+00:00
95,INPROC_CA4A0C,1,10,team2,Team 2 (E/W),43,77,13,♦,finished,2026-05-18T16:33:20.443605+00:00
96,INPROC_D71AFC,1,10,team1,Team 1 (N/S),81,39,20,♥,finished,2026-05-18T16:33:20.459620+00:00
97,INPROC_B69542,1,10,team1,Team 1 (N/S),94,26,32,♠,finished,2026-05-18T16:33:20.474396+00:00
98,INPROC_C7B374,1,10,team1,Team 1 (N/S),84,36,12,♦,finished,2026-05-18T16:33:20.491673+00:00
99,INPROC_EB4492,1,10,team2,Team 2 (E/W),57,63,18,♦,finished,2026-05-18T16:33:20.505907+00:00
100,INPROC_94917D,1,10,team1,Team 1 (N/S),100,20,10,♦,finished,2026-05-18T16:33:20.519747+00:00
101,INPROC_0910E5,1,10,team1,Team 1 (N/S),103,17,20,♥,finished,2026-05-18T16:33:20.537196+00:00
102,INPROC_5FA8FF,1,10,team1,Team 1 (N/S),65,55,3,♣,finished,2026-05-18T16:33:20.551584+00:00
103,INPROC_E7FDD2,1,10,team2,Team 2 (E/W),38,82,5,♣,finished,2026-05-18T16:33:20.565040+00:00
104,INPROC_A29501,1,10,team1,Team 1 (N/S),65,55,39,♠,finished,2026-05-18T16:33:20.585410+00:00
105,INPROC_0C7DC5,1,10,team2,Team 2 (E/W),45,75,33,♠,finished,2026-05-18T16:33:20.599789+00:00
106,INPROC_3F9419,1,10,team1,Team 1 (N/S),89,31,12,♦,finished,2026-05-18T16:33:20.613169+00:00
107,INPROC_DE0500,1,10,team1,Team 1 (N/S),69,51,38,♠,finished,2026-05-18T16:33:20.626349+00:00
108,INPROC_8770BF,1,10,team1,Team 1 (N/S),77,43,32,♠,finished,2026-05-18T16:33:20.639718+00:00
109,INPROC_43E629,1,10,team2,Team 2 (E/W),44,76,29,♥,finished,2026-05-18T16:33:20.652947+00:00
110,INPROC_46E1F6,1,10,team1,Team 1 (N/S),67,53,35,♠,finished,2026-05-18T16:33:20.667738+00:00
111,INPROC_BD238C,1,10,team1,Team 1 (N/S),104,16,33,♠,finished,2026-05-18T16:33:20.682369+00:00
